comment,product_id
"Áo này chất vải khá tốt, mặc mát, tuy nhiên đường may chưa được kỹ lắm.",AO-001
"Điện thoại chụp ảnh siêu đẹp, pin cũng trâu nữa. Rất đáng tiền!",DT-S23
"Giao hàng quá chậm, đợi cả tuần chưa thấy đâu. Shop làm ăn kiểu gì vậy?",SHIP-000
"Màu áo này lên hình thì đẹp mà ở ngoài hơi khác chút, nhưng vẫn chấp nhận được.",AO-001
"Pin của điện thoại này dùng nhanh hết quá, mới mua mà ngày sạc 2 lần.",DT-S23
"Sản phẩm tuyệt vời, vượt trên cả mong đợi. Sẽ ủng hộ shop dài dài!",BOOK-012
"Khá thất vọng về chất lượng dịch vụ, gọi hỗ trợ không ai bắt máy.",SUPPORT-CS
"Máy tính bảng này dùng rất mượt, màn hình hiển thị sắc nét.",TAB-A8
"Tai nghe âm thanh ổn, nhưng đeo lâu hơi đau tai.",HP-X1
"Dịch vụ ổn, nhưng giá hơi cao so với mặt bằng chung.",
